desc,label,bert_risk_score
  Borrower added on 07/12/12 > I want to pay off credit card debt in 3 years by consolidating all of them to save money to buy a house.<br>,1,0.34303463
  Borrower added on 07/12/13 > My loan is to pay off my credit cards.<br>,0,0.34387434
  Borrower added on 01/24/14 > pay off credit cards<br>,0,0.3443866
"  Borrower added on 06/22/12 > I want to pay off credit cards, loans for vehicle and furniture . this will allow me to pay one payment at at least a lower interest rate than credit cards<br><br>  Borrower added on 06/23/12 > It is to give me some piece of mind that I do not have the credit cards and possibly other bills hanging over my head. With this loan, the set amt every month for 3 years can be done , and then I will be the much better for it<br>",0,0.34117305
  Borrower added on 12/21/12 > Debt consolidation<br>,0,0.34485728
"  Borrower added on 01/24/12 > Debt consolidation, business payroll &amp; expenses<br><br>  Borrower added on 01/25/12 > Debt consolidation and business expenses<br><br>  Borrower added on 01/25/12 > After School Program in South Austin<br>Sports, Art, Music, Enrichment<br><br>  Borrower added on 01/25/12 > After School Program and Summer Camp in South Austin<br>Sports, Art, Music, Enrichment<br>",1,0.3414169
"  Borrower added on 07/03/13 > I want to consolidate my debt, in just one payment, with a lower rate.<br>",0,0.34332788
  Borrower added on 12/11/13 > This loan is to consolidate some high interest loans that I already have. It will save me almost a thousand dollars a month and let me payoff the debt in 36 months. Thank you for considering me.<br>,0,0.34229127
"  Borrower added on 06/12/12 > To reduce my monthly payments, and make it easier to manage payments, as well as to build my credit score.<br>",1,0.34298888
"  Borrower added on 05/20/13 > Looking to finish the basement in my home.  Drywall, some wall dividers, electrical, carpet, tile etc.<br>",0,0.34304103
  Borrower added on 06/06/11 > Personal<br/>,0,0.34498516
  Borrower added on 11/10/12 > Debt consilidation<br>,1,0.34459144
  Borrower added on 11/21/13 > I would like to have one monthly credit card bill to pay instead of the 3 different ones.  It would be much easier for me. Thank you<br>,1,0.34284058
  Borrower added on 02/06/14 > Looking to pay off all revolving credit debt and consolidate under an installment loan.<br><br> Borrower added on 02/06/14 > Looking to pay off and consolidate all revolving credit card debt.<br>,0,0.34238
"  Borrower added on 10/17/12 > Long term hospitality professional wishing to consolidate existing debt to enable pursuit of Master's Degree.  Will not need the full 5 years to repay, but like the flexibility of lower monthly payments now and again.  Thank you.<br>",1,0.34217754
  Borrower added on 10/21/13 > To pay off existing credit debt at a lower APR<br>,1,0.34379688
  Borrower added on 03/11/11 > Debt consolidation loan requested to pay off some cards and holiday expenses.<br/>,1,0.34373719
"  Borrower added on 05/17/12 > I'm trying to consolidate my debt into one monthly payment, to pay it off quicker, and have one interest rate and not five different ones.<br>",1,0.34276015
"  Borrower added on 01/14/13 > I have roughly $30,000 in cc debt that I want to payoff with this loan.  It will greatly reduce my interest by being able to pay them off in one shot.<br>",0,0.34243348
  Borrower added on 09/13/13 > I have to get my rear main seal repaired.<br>,1,0.34400877
"  Borrower added on 12/13/13 > Paying off some high interest debt, and making some large purchases. Thank you.<br>",0,0.3435363
