desc,reduced_topic_id
  Borrower added on 07/08/13 > This loan is to refinance and consolidate credit card debt with a rate in the hight teens.  Loan will be paid off before the 3 year mark.<br>,1
  Borrower added on 07/06/12 > debt relief<br><br>  Borrower added on 07/09/12 > im looking for the end of the with these bills of mine and make the payment to get rid of debt in 36 months or less<br>,-1
"  Borrower added on 05/01/12 > I am applying for a loan because I want to pay off dumb debt I accumulated on credit cards.  I will be able to pay it off much faster with a LendingClub loan, giving myself the ability to free up time and money for more productive financial endeavors.<br>",-1
  Borrower added on 02/04/13 > consolidate credit cards and loans into one.<br>,0
  Borrower added on 10/29/13 > I am consolidating my high interest loans and credit cards so I can get my debt reduced. I am wanting to get rid of credit cards so I won't have so much debt.<br>,0
  Borrower added on 06/27/12 > i asked for this loan because i am tired of living from pay check to paycheck and to consolidate some credet cards that i have!!<br>,1
  Borrower added on 09/07/11 > We are ready to proceed with the loan.<br/> Borrower added on 09/09/11 > This loan will be used to remodel my bathroom.<br/> Borrower added on 09/15/11 > I am looking forward to the loan funding and initiating the remodel of my bathroom.<br/>null,1
  Borrower added on 11/26/11 > I plan to use this low interest Lending Club loan to consolidate my debt. This will allow me to pay down my debt faster and save money in interest charges. Through my credit history you will see that I make it a priority to make my payments each month on time and always pay off my debt.  I would like this loan to get ahead by making the most of my monthly income and lowering my interest rate. Thank you for considering my loan.&nbsp;<br>,1
  Borrower added on 11/21/11 > We are planing our wedding for June 23 2012 and need a little extra money for the planing process.  We plan to pay this off right after the wedding<br>,6
"  Borrower added on 01/23/13 > pay off credit cards<br><br>  Borrower added on 01/24/13 > Pay off car note<br><br>  Borrower added on 01/28/13 > Clean up my credit , and bring up my credit score<br><br>  Borrower added on 01/30/13 > Thank You to all the investors<br>",-1
  Borrower added on 01/03/13 > I would like to pay a credit card off because the interest rate is higher than this loan. I had an emergency in July and had to charge $1400.00. Thank you!<br>,0
"  Borrower added on 07/26/13 > Debt consolidation, to be debt free in 3 years<br>",2
"Borrower added on 07/22/12 > We unfortunately used credit cards for our wedding &amp; then struggled to stop using them. We have successfully discontinued use since beg of yr, but want to eliminate the debt entirely. This loan will pay all but just over $2,000 in revolving debt. We want to better position ourselves for our future.<br><br> Borrower added on 07/23/12 > I overused credit cards in the past, but I have totally discontinued use, but I just can't seem to get balances down.  I am a diligent budgeter and have learned a hard lesson about credit cards. I have been employed with my current employer for 13 years. This will eliminate all but 1 credit card.<br>",-1
  Borrower added on 03/08/14 > To consolidate my credit cards payment<br>,-1
  Borrower added on 01/18/14 > Consolidate credit card debt into to one monthly payment<br>,0
"  Borrower added on 01/17/13 > This is to pay off high APR credit card debt.  With the lower APR of a Lending Club loan, I'll move much closer to being debt free.<br>",-1
  Borrower added on 10/01/10 > need loan to payback 401k loan so that I can resign from job..loan will be repaid within 30-45 days of reciept<br/> Borrower added on 10/01/10 > this is 401k at part time job<br/>,20
  Borrower added on 03/03/14 > I have been carrying a balance on a high interest credit card. I have been successfully paying the balance down but have realized I can save on interest and pay off the debt faster by refinancing via lending club.<br>,-1
  Borrower added on 10/20/12 > This loan will consolidate all the dept I have left minus my Mortgage. Ive been on a very focused budget the last 2 years to pay off all dept. Just paid off Truck last month 1 year early of 5 year loan. This loan is projected to be paid off in 12-15 months<br>,-1
  Borrower added on 11/21/13 > combine debt<br>,2
  Borrower added on 06/17/13 > I have worked hard to keep my bills payed on time for may years and I would like to know there is an end in sight to the payment on the debt I have incurred raising my family.<br>,-1
  Borrower added on 12/01/12 > My goal is to get rid of my credit card debt.  I have 3 cards w/high balances. It will take such a long time to pay them off off just paying slightly more than the min pmt.  This loan will allow me to close the CC accts and eliminate the debt in just 5 years and will save me thousands of dollars.<br>,-1
"  Borrower added on 07/22/10 > Hello! Thank you for your help in our situation.  We would like to use our loan to do some much needed remodeling and general spucing up of our home, such as a bathroom facelift, interior painting, a desperately needed sprinkler system for our 3 acres of property, etc. There is more that needs to be done, but we are only doing as much as we can afford to pay for.  Once again, thank you for all your help.  If anyone has any ideas for cost efficient bathroom remodeling, please let us know!<br/>",22
  Borrower added on 06/13/13 > I am consolidating some high interest credit card debt<br>,0
  Borrower added on 07/13/11 > My family has recently fallen on hard times.  I am leaving in a few weeks for Afghanistan and need to see that my family is taken care of financially.  I am a SSG in the U.S. Army and have been serving for 10 years.  I will be serving at least a full 20 years.<br/>,5
"  Borrower added on 03/04/11 > After two years of unemployment, I have landed a great job with a great company.  I have been able to keep my credit intact and my bills paid on time during this time.  I have always been financially savvy and taken care of my business, but at 54, I never thought I would face an economy like this and be unemployed for the first time in my life.  My home taxes are due and I need some help to get back on my feet.  This is the purpose of this loan.<br/>",-1
